,Palabra,cant central,cant guaranitica,Total central,Total guaranitica,Total central guaranitica,Pvalue,fnorm central,fnorm guaranitica,maxdif
38802,worne,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38451,histe,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38232,beinnn,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38801,oho,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38800,parrandero,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38231,superbike,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38230,apelarse,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38799,tiinatormanenphotography,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38450,enanis,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38810,votarle,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38811,naranjass,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38798,tarambana,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38812,gass,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38236,ticó,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38237,probará,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38787,pirateado,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38243,débitohttp,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38224,villaguayyy,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38244,creativity,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38223,dezio,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38245,alesina,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39084,tranquela,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39083,naqueve,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39082,reportándome,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38246,celauro,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39081,curuuu,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38222,conociéndola,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39080,popó,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38457,correntinidad,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38458,behavior,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39079,kraft,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39078,albisser,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39077,berhtil,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
