,Palabra,cant cuyo,cant guaranitica,Total cuyo,Total guaranitica,Total cuyo guaranitica,Pvalue,fnorm cuyo,fnorm guaranitica,maxdif
50,cornejo,407.0,5.0,67,3,70,3.61955417424e-288,43.2868249901,0.161251258163,268.44333175
395,secamente,81.0,1.0,63,1,64,6.62844815034e-59,8.61482266388,0.0322502516326,267.124199898
399,tonetto,79.0,0.0,1,0,1,1.31581952127e-58,8.40211099316,0.0322502516326,260.528540641
408,malpega,78.0,0.0,60,0,60,6.88745845176e-58,8.29575515781,0.0322502516326,257.230711013
407,ordinariolibro,78.0,0.0,1,0,1,6.88745845176e-58,8.29575515781,0.0322502516326,257.230711013
409,anga,0.0,846.0,0,441,441,9.75502626774e-58,0.106355835356,27.2837128812,256.532354712
416,teresss,1.0,845.0,1,353,354,3.59735257462e-57,0.106355835356,27.2514626295,256.229124977
42,fahlo,465.0,6.0,2,3,5,0.0,49.4554634408,0.193501509796,255.581796199
417,cecsagal,77.0,0.0,22,0,22,3.60542759425e-57,8.18939932245,0.0322502516326,253.932881385
418,quitilipi,0.0,836.0,0,96,96,4.46964554374e-57,0.106355835356,26.9612103648,253.500057374
424,acequia,76.0,0.0,56,0,56,1.88751580225e-56,8.08304348709,0.0322502516326,250.635051756
429,malpego,75.0,0.0,58,0,58,9.88237645952e-56,7.97668765174,0.0322502516326,247.337222128
77,mansas,297.0,4.0,155,3,158,1.82000811458e-210,31.5876831009,0.12900100653,244.863849908
446,magnoni,74.0,1.0,1,1,2,7.12398836312e-54,7.87033181638,0.0322502516326,244.0393925
36,mendocino,500.0,7.0,158,7,165,0.0,53.1779176782,0.225751761428,235.55925917
455,resis,0.0,767.0,0,292,292,1.63060064617e-52,0.106355835356,24.7359430022,232.577205749
458,jei,0.0,756.0,0,305,305,8.7053383011e-52,0.106355835356,24.3811902342,229.241678678
475,aristides,69.0,1.0,46,1,47,2.80252223576e-50,7.3385526396,0.0322502516326,227.550244358
469,corsos,1.0,749.0,1,384,385,8.00640175754e-51,0.106355835356,24.1554384728,227.119070542
470,traica,68.0,0.0,51,0,51,1.06851482913e-50,7.23219680424,0.0322502516326,224.252414729
483,pehuenche,66.0,0.0,16,0,16,2.93386152716e-49,7.01948513353,0.0322502516326,217.656755473
484,culiadas,66.0,0.0,48,0,48,2.93386152716e-49,7.01948513353,0.0322502516326,217.656755473
482,antigranizo,66.0,0.0,9,0,9,2.93386152716e-49,7.01948513353,0.0322502516326,217.656755473
28,celli,1117.0,17.0,3,12,15,0.0,118.799468093,0.548254277754,216.686805582
492,energies,65.0,0.0,1,0,1,1.53759452323e-48,6.91312929817,0.0322502516326,214.358925844
502,chombi,64.0,0.0,18,0,18,8.05924714352e-48,6.80677346282,0.0322502516326,211.061096216
504,apostoles,0.0,695.0,0,94,94,9.43216938797e-48,0.106355835356,22.4139248846,210.744664922
534,atine,63.0,1.0,40,1,41,5.78985258143e-46,6.70041762746,0.0322502516326,207.763266588
517,chipas,0.0,678.0,0,422,422,1.25704348268e-46,0.106355835356,21.8656706069,205.58975945
525,scapparoni,62.0,0.0,3,0,3,2.21491706618e-46,6.5940617921,0.0322502516326,204.465436959
543,murialdo,62.0,1.0,30,1,31,3.03396857272e-45,6.5940617921,0.0322502516326,204.465436959
57,clda,372.0,6.0,150,2,152,5.65396249844e-262,39.5643707526,0.193501509796,204.465436959
564,simalu,58.0,0.0,21,0,21,1.67557299389e-43,6.16863845068,0.0322502516326,191.274118446
574,walther,58.0,1.0,10,1,11,2.29026218254e-42,6.16863845068,0.0322502516326,191.274118446
569,pubblicato,57.0,0.0,1,0,1,8.79058437131e-43,6.06228261532,0.0322502516326,187.976288817
29,tomba,843.0,15.0,161,15,176,0.0,89.6579692055,0.483753774489,185.338025115
578,bustelo,56.0,0.0,39,0,39,4.61251278027e-42,5.95592677996,0.0322502516326,184.678459189
579,correntinos,0.0,605.0,0,212,212,8.52537353052e-42,0.106355835356,19.5114022377,183.453988889
585,megu,55.0,0.0,10,0,10,2.42061207289e-41,5.84957094461,0.0322502516326,181.380629561
280,uncuyo,109.0,2.0,60,1,61,6.75362772866e-78,11.5927860539,0.0645005032652,179.731714747
600,apeteco,54.0,0.0,10,0,10,1.27052450761e-40,5.74321510925,0.0322502516326,178.082799932
612,lb,1.0,583.0,1,160,161,7.73003653315e-40,0.106355835356,18.8018967018,176.782934748
610,malpegado,53.0,0.0,39,0,39,6.66981421331e-40,5.63685927389,0.0322502516326,174.784970304
609,quetec,53.0,0.0,1,0,1,6.66981421331e-40,5.63685927389,0.0322502516326,174.784970304
608,damianescuderodj,53.0,0.0,1,0,1,6.66981421331e-40,5.63685927389,0.0322502516326,174.784970304
607,azafranresto,53.0,0.0,1,0,1,6.66981421331e-40,5.63685927389,0.0322502516326,174.784970304
622,infoberaweb,0.0,568.0,0,1,1,2.40226722415e-39,0.106355835356,18.3181429273,172.234488742
131,culiadooo,206.0,4.0,96,4,100,3.02407455769e-145,21.9093020834,0.12900100653,169.838225861
93,culiaaa,257.0,5.0,110,5,115,1.09009705371e-180,27.3334496866,0.161251258163,169.508442898
