palabra,pvalorWelch
crysis,0.0526591639162
pampa,2.89221226692e-24
catamarqueños,0.0177241689925
unne,4.82523168882e-05
cldos,5.1498679387e-11
fadul,0.000210396835122
tafí,3.07777954131e-10
pichado,3.29544426321e-19
mansa,7.45647109097e-89
arnedo,0.111218086446
caleta,9.96407279325e-13
alperovich,4.88765693206e-06
misionero,1.87918947626e-05
chalten,0.0229730046155
cafa,1.59730875913e-06
belgra,6.8851430899e-08
qt,8.68692629514e-16
unsj,0.00117865807409
verdinegro,0.0128928174637
raco,2.10047470832e-10
gaceta,0.000234454227758
pachata,3.36621392969e-06
untdf,0.000255579732531
neuquinos,0.000263314967937
pelay,1.11410260717e-08
ql,2.3977918469e-05
lelac,0.000774856780972
catamarqueño,3.17534749397e-08
pirkas,0.0634028155416
barda,0.00023614601948
tili,1.24349026434e-07
virasoro,0.054607954387
alberti,0.0107510722486
gurises,1.26192668107e-07
emsa,3.05290855055e-08
unse,8.69119522845e-10
bk,9.37946712692e-15
esar,1.83350350312e-09
fac,1.23436886862e-17
rigo,9.084829254e-10
mediatarde,4.77678071692e-09
lepra,1.71200449218e-07
catamarqueña,3.99782132679e-06
uraaa,3.55958060644e-13
sfijas,5.32299956419e-15
chombi,7.29038230616e-08
udpm,0.0778394124762
bombolo,5.11072491132e-12
quiti,6.51510033843e-11
formoseños,9.26733967619e-10
buddha,8.8103083959e-09
quimsa,2.287341038e-06
estero,1.50187741918e-23
ullum,3.04252638549e-08
yaganes,0.0224054451322
asar,4.48924463375e-25
verna,0.0112032414473
palpalá,0.0012429818837
pue,4.41754471211e-136
chaco,8.11862606828e-25
haro,0.000104813080244
tomba,9.54010861374e-11
piadina,2.05683905648e-10
tancacha,0.0117207083326
corpacci,0.0026448203732
ambato,2.82332930942e-05
tucuman,3.41998803167e-25
sheik,3.59137319196e-08
andorra,2.80051352927e-06
orán,3.3005507982e-08
cpem,0.000105095910411
naschel,0.0008170211799
alpedo,5.05878199645e-105
cem,1.14057847779e-05
winifreda,5.54331826275e-08
carcarañá,0.0860567319842
potrerillos,1.48788232437e-09
rionegrino,5.09703091567e-06
graty,0.0569084864907
rodeoo,1.92726016793e-10
bnz,6.89388961731e-05
pesatti,0.0156954887068
sapucay,3.60348447251e-08
pinar,1.24266648962e-09
añatuya,0.0604457378806
formoseña,5.09386710848e-06
bera,0.000394755624764
correntina,4.60174968191e-14
seom,0.0152657487204
ayuntamiento,2.78603176331e-07
tartagal,2.70949875085e-11
nnv,1.25141016666e-27
teresss,1.16140781352e-23
cipolletti,0.00288725253798
pampeana,1.52955803724e-05
salteña,7.92867953687e-06
confluencia,4.56890133302e-06
ros,3.25446570529e-19
quattro,2.00244777659e-07
aaala,3.10690496186e-09
qliao,3.3637377176e-19
nde,9.02554428485e-10
senillosa,0.11645474549
rionegrina,1.650973674e-05
martearena,0.0549278917203
monticas,1.86969448466e-07
andalgala,0.00744181314441
regatas,0.000609050500143
cadillal,8.54419737582e-12
psoe,0.157672100876
alunada,9.84107789607e-20
arion,4.19344883055e-06
viorsi,0.00186417240762
pair,6.23262278299e-12
fne,0.00143190579246
portho,3.46168188686e-12
oran,0.000983535147678
balca,8.66447021811e-09
jiaaa,8.3711889321e-07
rcia,3.70121235432e-08
limao,2.52868611637e-13
batacha,0.000312740223169
obereño,5.30302766751e-05
pichada,8.66552639067e-14
usma,0.00147978537311
palazzo,2.36260011894e-09
mansas,3.56934751433e-31
chara,2.27244212344e-12
enhorabuena,3.86501286286e-10
beltran,2.86433764409e-08
chayar,1.79109786762e-06
atinar,0.0334716051096
comedero,1.14302336573e-06
santiagueño,4.52640694233e-10
