 ,cantPalabra,cantUsuariosTotal,regionTest,provinciaSinEsaPalabra,Palabra Candidata,rankPalabras,rankPalabras_Personas,rankPersonas,FnormMax,FnormMin,provinciaFnormMax,provinciaFnormMin,entropy_palabras,entropy_personas,esLugar,fnormArgentina,information_value_palabras,information_value_personas,information_value_personas_palabras,maxDif,normCantPalabras,normCantPersonas,shuffled_entropy_palabras,shuffled_entropy_personas,,
aijue,534,186,['formosa'],17,1,73,35,22,72.796797275,0.119363192593,formosa,sanjuan,0.129495307143,0.192851364459,ok,2.83308636142e-06,26.9911093804,26.1772342121,0.765078745272,609.876425836,0.211818007788,0.419683481822,3.10841763098,3.08194889178,,
alvearense,735,41,['mendoza'],20,1,35,101,23,77.9588273163,0.108242375461,mendoza,tucuman,0.0206762142021,0.228720744776,ok,3.89947280083e-06,29.5385637355,25.4909935684,0.464620674992,720.224653091,0.238181518523,0.234873619001,3.12294498955,2.90589605052,,
riojanos,2764,336,['larioja'],6,0,10,12,24,397.497394291,0.118667036908,larioja,corrientes,0.192996982419,0.863753532955,ok,1.46641398932e-05,33.5838413164,25.4715038923,1.1188303384,3349.68669184,0.347486428396,0.491956874773,3.13056253949,3.09173608612,,
tilly,1229,272,['chubut'],13,0,44,22,25,130.448313373,0.111156586506,chubut,lapampa,0.303219345769,0.58347444341,lugar,6.5203429554e-06,28.9448804249,25.4042695759,0.91308365837,1173.55450967,0.280604606151,0.466131811693,3.12345916018,3.05873540363,,
lamarque,684,124,['rionegro'],17,0,54,45,26,67.0547770474,0.106355835356,rionegro,mendoza,0.130810909707,0.40169615262,ok,3.6288971371e-06,28.1931560468,25.2843631475,0.690870040095,630.475768655,0.232247188347,0.370129712925,3.12439739901,3.08642317585,,
kraka,382,99,['rionegro'],21,0,85,68,27,38.0310675791,0.22510494111,rionegro,chubut,0.0327206861069,0.0564651742789,ok,2.0266647754e-06,26.3593784814,25.2325173629,0.570446842771,168.948168759,0.184175367604,0.342611656772,3.10583024025,2.99819956448,,
akil,366,145,['misiones'],20,0,96,51,28,46.2119250643,0.237334073816,misiones,corrientes,0.0940843631072,0.113880386969,ok,1.94177829266e-06,25.7227633647,25.2091547472,0.628766061324,194.712559901,0.180644499809,0.38925045811,3.11471259721,3.07419547861,,
fsa,1086,355,['formosa'],9,0,109,26,29,128.61231488,0.110846938225,formosa,neuquen,0.628558576539,0.633780400825,lugar,5.76167001592e-06,25.1846584392,24.9624430686,0.833509974424,1160.26943946,0.270396735614,0.498679489745,3.12584533408,3.10903249374,,
afrah,375,96,['santafe'],20,0,86,72,30,42.0882639415,0.106355835356,santafe,mendoza,0.036929357898,0.115705383828,ok,1.9895269392e-06,26.3549670216,24.8860057133,0.555182714722,395.730650795,0.182649167913,0.338850909838,3.11911243302,3.02609512381,,
patagones,1078,252,['rionegro'],9,0,61,27,31,100.582165571,0.0992464022187,rionegro,cordoba,0.378429922026,0.648098906228,lugar,5.71922677455e-06,27.6643144281,24.7566888831,0.831650510428,1013.45906071,0.269786592758,0.456797916211,3.12450158783,3.10554790817,,
fueguino,675,174,['tierradelfuego'],15,1,58,38,32,76.9930150161,0.0992464022187,tierradelfuego,cordoba,0.151946049802,0.414111750685,ok,3.58114849056e-06,27.843475126,24.7441436291,0.741929207101,775.776383777,0.231154173091,0.411532820043,3.11441380493,3.04681931673,,
jumeal,340,150,['catamarca'],19,0,108,58,33,41.0473368917,0.139190816969,catamarca,formosa,0.0921623326583,0.150682886559,ok,1.80383775821e-06,25.1989117161,24.7414152118,0.605422505254,294.899748312,0.174563682994,0.393393723765,3.08868275934,3.09280026458,,
exxim,301,116,['formosa'],21,0,101,74,34,41.7572450908,0.118667036908,formosa,corrientes,0.0222772335301,0.0495626500566,ok,1.59692695653e-06,25.3240029042,24.6552550792,0.548447517431,351.885798946,0.164509653574,0.361979051146,3.09796009215,3.04402390126,,
unlar,792,192,['larioja'],14,0,68,37,35,110.547488286,0.0992464022187,larioja,cordoba,0.291857464622,0.53048107347,ok,4.20188089559e-06,27.2068842412,24.5603632842,0.745832648169,1113.86897474,0.244345118939,0.423563637297,3.1172678544,3.08105264883,,
trapani,313,144,['buenosaires'],19,0,116,62,36,34.5428070064,0.110846938225,buenosaires,neuquen,0.0646140141231,0.124152573581,ok,1.66059181858e-06,24.9011338897,24.557748871,0.579704260059,311.626171725,0.167735658315,0.388404678735,3.0683627811,3.0864798402,,
malpegue,369,166,['mendoza'],19,1,134,60,37,37.2245423748,0.269073149285,mendoza,santacruz,0.250118315459,0.192048380739,ok,1.95769450817e-06,24.287166078,24.5158981728,0.602443003475,138.343578591,0.181318148003,0.405780481534,3.09822521281,3.06697822873,,
calahorra,422,51,['larioja'],21,0,70,110,38,62.3032029026,0.106355835356,larioja,mendoza,0.0166915155045,0.0965089607359,lugar,2.23888098224e-06,27.0676430612,24.5129388417,0.438978839964,585.799572668,0.192393241437,0.261547398212,3.12038778997,2.90727149322,,
chepes,1279,88,['larioja'],16,0,40,52,39,177.290349352,0.133215180349,larioja,salta,0.27976685504,0.608259993002,lugar,6.78561321396e-06,29.3660483162,24.4420832977,0.62787926,1330.85695555,0.283895370935,0.328216846436,3.12509345322,2.97649520711,,
cdelu,537,138,['entrerios'],15,0,141,65,40,50.8296218551,0.110846938225,entrerios,neuquen,0.474952398635,0.392891330021,lugar,2.84900257693e-06,23.9802616871,24.2637143162,0.575509587576,458.556841255,0.212280314013,0.383203271129,3.11921835729,3.06841316686,,
anguil,284,67,['lapampa'],22,0,103,115,41,31.5684705676,31.5684705676,lapampa,lapampa,0.0,0.0,lugar,1.50673506862e-06,25.2472075919,24.1049867582,0.431557358302,1.0,0.15971218463,0.294895736519,3.09791300536,2.95775886107,,
nox,1232,207,['santafe'],5,0,37,29,42,133.712044962,0.0992464022187,santafe,cordoba,0.256429065108,0.735518614363,ok,6.53625917091e-06,29.4815431045,24.084762704,0.818603745976,1347.27347261,0.280805796284,0.432757040027,3.12797441064,3.08140966884,,
tkt,314,118,['neuquen'],20,0,113,78,43,34.4733977879,0.116833103211,neuquen,tierradelfuego,0.0600239093195,0.0976637586323,ok,1.66589722375e-06,25.0428494907,24.0236087521,0.534832902213,295.065326867,0.16799888484,0.364068241025,3.07919142148,2.99395154314,,
kryon,290,118,['lapampa'],20,0,112,80,44,32.0130969136,0.111428409698,lapampa,buenosaires,0.0459753427076,0.0976637586323,ok,1.53856749965e-06,25.0464017306,24.0076756652,0.528184370878,287.297440575,0.16143743448,0.364068241025,3.1079166742,3.03262005227,,
mdt,535,143,['entrerios'],15,0,94,54,45,54.1055434299,0.106355835356,entrerios,mendoza,0.250900160887,0.440964788075,ok,2.83839176659e-06,26.0300273105,23.8366395956,0.620509238827,508.72190744,0.211972397815,0.387553005381,3.12289537648,3.0709549167,,
kalima,290,104,['chaco'],19,0,139,94,46,37.0760365086,0.128366458512,chaco,misiones,0.146541782222,0.162398858747,ok,1.53856749965e-06,24.1793512456,23.8260972054,0.484589180385,288.829628381,0.16143743448,0.348633299885,3.10248554388,3.07515704997,,
chamical,1013,139,['larioja'],12,0,52,46,47,142.069061251,0.106355835356,larioja,mendoza,0.296044806789,0.721202396378,lugar,5.37437543842e-06,28.2439149684,23.3873284318,0.673546123234,1335.78999943,0.264654481146,0.384085691077,3.12484400876,3.06358503271,,
arquus,379,31,['santafe'],22,0,81,202,48,42.7652869539,42.7652869539,santafe,santafe,0.0,0.0,ok,2.01074855988e-06,26.5721706297,23.3805448019,0.311868299416,1.0,0.183524735229,0.200704258006,3.10203163689,2.72944166564,,
viedma,6584,666,['rionegro'],0,0,7,7,49,618.305093431,0.108242375461,rionegro,tucuman,0.376025827146,1.29411463604,lugar,3.49307876471e-05,34.9815534267,23.2465988736,1.21917403766,5712.22768159,0.419112035718,0.575573499532,3.13379064169,3.12675630433,,
mnes,696,184,['misiones'],13,0,89,48,50,83.0530986572,0.0992464022187,misiones,cordoba,0.343458931012,0.640496199957,ok,3.69256199915e-06,26.2611165883,23.219902157,0.668555132881,836.837374459,0.233682380094,0.418362229691,3.12448971869,3.09946486446,,
comodorense,329,113,['chubut'],18,1,123,89,51,36.1293430481,0.100081756787,chubut,rionegro,0.144920139043,0.31139954258,ok,1.74547830132e-06,24.6305589848,23.1682373618,0.503182934663,360.998289878,0.171849728685,0.358776737851,3.09047438471,3.08207559454,,
ushuaia,14966,1006,['tierradelfuego'],0,0,1,3,52,1683.21451796,0.513465834048,tierradelfuego,misiones,0.263758516294,1.45327871192,lugar,7.94006937921e-05,39.8172476594,23.1568409778,1.4608722493,3278.14317205,0.486873571475,0.625980640897,3.13462853352,3.12291396711,,
otc,1055,69,['misiones'],16,0,34,76,53,131.318887058,0.139190816969,misiones,formosa,0.174847618102,0.613533217399,ok,5.59720245561e-06,29.6422559304,23.146767022,0.544187827453,943.445048437,0.268006877043,0.29849054367,3.12637359661,2.91829316362,,
rionegrinos,332,63,['rionegro'],18,1,138,130,54,31.8259986583,0.119363192593,rionegro,sanjuan,0.212531098389,0.324488548766,ok,1.76139451684e-06,24.2311089375,23.1317894883,0.396361720243,266.631596952,0.172598793847,0.287372461292,3.10578421512,3.08648025972,,
scpl,321,70,['chubut'],20,0,102,116,55,35.6791331659,0.110846938225,chubut,neuquen,0.0740339605596,0.204199529759,ok,1.70303505995e-06,25.2513103655,22.9632922662,0.426448580013,321.87748022,0.169818328992,0.30024905792,3.10670365464,2.96207939912,,
toay,773,238,['lapampa'],9,0,90,43,56,80.4773686301,0.105674889512,lapampa,entrerios,0.388231345921,0.703035529283,lugar,4.10107819733e-06,26.194148046,22.9528585947,0.711985309962,761.556212664,0.242341304878,0.449812321709,3.11840247597,3.09537261837,,
quintela,361,66,['larioja'],20,0,105,122,57,51.9440005197,0.122529363856,larioja,catamarca,0.13566193165,0.156798418769,ok,1.9152512668e-06,25.2172872473,22.9188502554,0.421228341495,423.931038938,0.179509386377,0.293057887874,3.10384902611,2.85444923589,,
aimogasta,611,91,['larioja'],18,0,77,79,58,86.4253455941,0.134536574642,larioja,santacruz,0.212965498274,0.523506326168,lugar,3.2416025596e-06,26.8889045246,22.8926139641,0.532398907804,642.392939049,0.222933738926,0.332313809901,3.11829467384,2.99703882706,,
sutef,331,61,['tierradelfuego'],20,0,106,128,59,37.9707585436,0.333469759517,tierradelfuego,lapampa,0.103221523446,0.167026172527,ok,1.75608911166e-06,25.2073957872,22.8689770023,0.40189146288,113.865672853,0.172349860188,0.283429711894,3.1146105005,2.89905711466,,
chilecito,1674,228,['larioja'],7,0,28,28,60,235.301882696,0.105674889512,larioja,entrerios,0.304534788454,0.937220406408,lugar,8.88124825658e-06,30.2232249736,22.8621221731,0.81989757345,2226.65842173,0.306104982279,0.444566253173,3.12673933019,3.07205496119,,
vuoto,278,65,['tierradelfuego'],20,0,117,134,61,32.2459364863,0.105674889512,tierradelfuego,entrerios,0.0476547865758,0.158733612008,ok,1.47490263759e-06,24.8905403266,22.680635687,0.393903704862,305.142845526,0.157950093935,0.291191979389,3.1133920673,2.95227965254,,
rada,2228,521,['chubut'],2,0,42,20,62,228.256410285,0.128366458512,chubut,misiones,0.515766002468,1.06969708008,lugar,1.18204427214e-05,29.0638314064,22.6006869088,0.955226788746,1778.16240264,0.329696902145,0.545564964206,3.12905951645,3.10185270624,,
